-60.0, 76.0, 132.0
-60.0, 76.0, 132.0
-61.0, 76.0, 132.0
-62.0, 76.0, 132.0
-62.0, 77.0, 132.0
-63.0, 77.0, 133.0
-63.0, 77.0, 133.0
-64.0, 77.0, 133.0
-65.0, 77.0, 133.0
-65.0, 78.0, 133.0
-66.0, 78.0, 134.0
-66.0, 78.0, 134.0
-67.0, 78.0, 134.0
-68.0, 78.0, 134.0
-68.0, 79.0, 134.0
-69.0, 79.0, 135.0
-69.0, 79.0, 135.0
-70.0, 79.0, 135.0
-71.0, 80.0, 135.0
-71.0, 80.0, 135.0
-72.0, 80.0, 135.0
-72.0, 80.0, 136.0
-73.0, 80.0, 136.0
-73.0, 81.0, 136.0
-74.0, 81.0, 136.0
-75.0, 81.0, 136.0
-75.0, 81.0, 136.0
-76.0, 81.0, 137.0
-76.0, 82.0, 137.0
-77.0, 82.0, 137.0
-77.0, 82.0, 137.0
-78.0, 82.0, 137.0
-79.0, 83.0, 138.0
-79.0, 83.0, 138.0
-80.0, 83.0, 138.0
-80.0, 83.0, 138.0
-81.0, 83.0, 138.0
-81.0, 84.0, 138.0
-82.0, 84.0, 139.0
-83.0, 84.0, 139.0
-83.0, 84.0, 139.0
-84.0, 84.0, 139.0
-84.0, 85.0, 139.0
-85.0, 85.0, 139.0
-85.0, 85.0, 140.0
-86.0, 85.0, 140.0
-86.0, 86.0, 140.0
-87.0, 86.0, 140.0
-87.0, 86.0, 140.0
-88.0, 86.0, 140.0
-88.0, 86.0, 141.0
-89.0, 87.0, 141.0
-90.0, 87.0, 141.0
-90.0, 87.0, 141.0
-91.0, 87.0, 141.0
-91.0, 87.0, 141.0
-92.0, 88.0, 142.0
-92.0, 88.0, 142.0
-93.0, 88.0, 142.0
-93.0, 88.0, 142.0
-94.0, 89.0, 142.0
-94.0, 89.0, 142.0
-95.0, 89.0, 143.0
-95.0, 89.0, 143.0
-96.0, 89.0, 143.0
-96.0, 90.0, 143.0
-97.0, 90.0, 143.0
-97.0, 90.0, 143.0
-98.0, 90.0, 144.0
-98.0, 91.0, 144.0
-99.0, 91.0, 144.0
-99.0, 91.0, 144.0
-100.0, 91.0, 144.0
-100.0, 91.0, 144.0
-100.0, 92.0, 145.0
-101.0, 92.0, 145.0
-101.0, 92.0, 145.0
-102.0, 92.0, 145.0
-102.0, 92.0, 145.0
-103.0, 93.0, 145.0
-103.0, 93.0, 146.0
-104.0, 93.0, 146.0
-104.0, 93.0, 146.0
-105.0, 94.0, 146.0
-105.0, 94.0, 146.0
-105.0, 94.0, 146.0
-106.0, 94.0, 146.0
-106.0, 94.0, 147.0
-107.0, 95.0, 147.0
-107.0, 95.0, 147.0
-108.0, 95.0, 147.0
-108.0, 95.0, 147.0
-108.0, 96.0, 147.0
-109.0, 96.0, 147.0
-109.0, 96.0, 148.0
-110.0, 96.0, 148.0
-110.0, 96.0, 148.0
-110.0, 97.0, 148.0
-111.0, 97.0, 148.0
-111.0, 97.0, 148.0
-111.0, 97.0, 149.0
-112.0, 97.0, 149.0
-112.0, 98.0, 149.0
-113.0, 98.0, 149.0
-113.0, 98.0, 149.0
-113.0, 98.0, 149.0
-114.0, 99.0, 149.0
-114.0, 99.0, 150.0
-114.0, 99.0, 150.0
-115.0, 99.0, 150.0
-115.0, 99.0, 150.0
-115.0, 100.0, 150.0
-116.0, 100.0, 150.0
-116.0, 100.0, 150.0
-116.0, 100.0, 151.0
-117.0, 101.0, 151.0
-117.0, 101.0, 151.0
-117.0, 101.0, 151.0
-118.0, 101.0, 151.0
-118.0, 101.0, 151.0
-118.0, 102.0, 151.0
-118.0, 102.0, 151.0
-119.0, 102.0, 152.0
-119.0, 102.0, 152.0
-119.0, 103.0, 152.0
-120.0, 103.0, 152.0
-120.0, 103.0, 152.0
-120.0, 103.0, 152.0
-120.0, 103.0, 152.0
-121.0, 104.0, 153.0
-121.0, 104.0, 153.0
-121.0, 104.0, 153.0
-121.0, 104.0, 153.0
-121.0, 105.0, 153.0
-122.0, 105.0, 153.0
-122.0, 105.0, 153.0
-122.0, 105.0, 153.0
-122.0, 105.0, 154.0
-123.0, 106.0, 154.0
-123.0, 106.0, 154.0
-123.0, 106.0, 154.0
-123.0, 106.0, 154.0
-123.0, 106.0, 154.0
-123.0, 107.0, 154.0
-124.0, 107.0, 154.0
-124.0, 107.0, 155.0
-124.0, 107.0, 155.0
-124.0, 108.0, 155.0
-124.0, 108.0, 155.0
-124.0, 108.0, 155.0
-125.0, 108.0, 155.0
-125.0, 108.0, 155.0
-125.0, 109.0, 155.0
-125.0, 109.0, 156.0
-125.0, 109.0, 156.0
-125.0, 109.0, 156.0
-125.0, 110.0, 156.0
-125.0, 110.0, 156.0
-125.0, 110.0, 156.0
-125.0, 110.0, 156.0
-126.0, 110.0, 156.0
-126.0, 111.0, 157.0
-126.0, 111.0, 157.0
-126.0, 111.0, 157.0
-126.0, 111.0, 157.0
-126.0, 112.0, 157.0
-126.0, 112.0, 157.0
-126.0, 112.0, 157.0
-126.0, 112.0, 157.0
-126.0, 112.0, 158.0
-126.0, 113.0, 158.0
-126.0, 113.0, 158.0
-126.0, 113.0, 158.0
-126.0, 113.0, 158.0
-126.0, 114.0, 158.0
-126.0, 114.0, 158.0
-126.0, 114.0, 158.0
-126.0, 114.0, 158.0
-126.0, 114.0, 159.0
-126.0, 115.0, 159.0
-126.0, 115.0, 159.0
-126.0, 115.0, 159.0
-126.0, 115.0, 159.0
-126.0, 116.0, 159.0
-125.0, 116.0, 159.0
-125.0, 116.0, 159.0
-125.0, 116.0, 159.0
-125.0, 116.0, 160.0
-125.0, 117.0, 160.0
-125.0, 117.0, 160.0
-125.0, 117.0, 160.0
-125.0, 117.0, 160.0
-125.0, 118.0, 160.0
-124.0, 118.0, 160.0
-124.0, 118.0, 160.0
-124.0, 118.0, 160.0
